Registro no CAR;Houve Retificação?;Aderiu ao PRA?;Bioma;% do Bioma;Défice Reserva Legal;Cidade;Estado;Latitude;Longitude;Data de Registro;Data da Última Retificação;Data de Análise;Status do Imóvel;Tipo de Imóvel;Situação;Condição;Condição PRA;Área;Módulo Fiscal;Área total de remanescentes de vegetação nativa;Área total de uso consolidado;Área total de servidão administrativa;Situação RL;Área de reserva legal averbada vetorizada;Área de reserva legal aprovada não averbada vetorizada;Área de reserva legal proposta vetorizada;Total de reserva legal declarada pelo proprietário/possuidor;Áreas de preservação permanente;Área de uso restrito
MT-5101902-A52AA821FD894E898AA67D68A403477A;Sim;Nâo;Amazônia;80;-0,302;Brasnorte;MT;"12°02'01,38"" S";"58°11'20,69"" O";22/10/2014;04/04/2019;01/03/2018;Pendente;IRU;PE;Cancelado por decisão administrativa;--;425,4645;4,25;419,677;5,7874;0;Não Analisada;0;340,6736;0;340,6736;0;0
MT-5101902-F433712FF6E84E29824C2E8893C98C9B;Sim;Nâo;Amazônia;80;4154,43516;Brasnorte;MT;"12°38'10,17"" S";"57°40'15,77"" O";24/07/2019;24/07/2019;--;Ativo;IRU;AT;Aguardando análise;--;9633,6372;96,34;4371,8102;5221,2956;0;Não Analisada;0;3357,5434;0;3357,5434;194,9312;0
MT-5101902-85AFD0F892E74CF99283080B02C4BF83;Nâo;Sim;Amazônia;80;-61,32054;Brasnorte;MT;"12°38'47,25"" S";"57°28'27,83"" O";14/10/2019;14/10/2019;--;Ativo;IRU;AT;Aguardando análise;--;4025,4582;40,25;4014,1382;0;0;Não Analisada;0;3211,3024;0;3211,3024;70,3847;0
MT-5101902-51304884D7234B2BB095D900D47D6AB5;Sim;Sim;Amazônia;80;204,04638;Brasnorte;MT;"11°59'23,67"" S";"58°01'17,61"" O";29/04/2015;14/01/2020;27/01/2016;Pendente;IRU;PE;Aguardando análise;--;1682,6531;16,83;1004,202;672,0622;0;Não Analisada;1004,1993;0;0;1004,1993;137,8768;0
MT-5101902-F3A4ABB35EE94B7F9419524901E78503;Nâo;Sim;Amazônia;80;976,44722;Brasnorte;MT;"12°32'40,43"" S";"58°18'01,23"" O";30/12/2020;30/12/2020;--;Ativo;IRU;AT;Aguardando análise;--;2308,4554;23,08;1519,0758;788,1396;0;Não Analisada;0;815,2197;0;815,2197;55,0974;0
MT-5101902-507A9E975B594F2F8B72DBC1256EB9E1;Nâo;Nâo;Amazônia;80;37,1581125;Brasnorte;MT;"12°01'31,71"" S";"57°54'19,98"" O";22/10/2014;22/10/2014;--;Ativo;IRU;AT;Aguardando análise;--;499,996;5;310,3091148;0;0;Não Analisada;0;0;310,3091;310,3091;52,5295875;0
MT-5101902-37257A18B3E1423DAD83087F0BC1F45E;Sim;Sim;Amazônia;80;286,07032;Brasnorte;MT;"12°44'55,98"" S";"58°18'42,4"" O";21/10/2014;05/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;755,7759;7,56;624,01;129,9853;0;Não Analisada;0;291,3796;0;291,3796;27,1708;0
MT-5101902-8D4A5BC483494A95AC9135EFCC6ED131;Sim;Sim;Amazônia;80;874,18044;Brasnorte;MT;"12°52'50,63"" S";"58°06'41,62"" O";02/06/2016;03/07/2020;22/07/2020;Ativo;IRU;AT;Analisado, aguardando regularização ambiental (Lei 12.651/12);--;1446,6643;14,47;280,7855;1164,0522;0;Não Analisada;280,7855;0;0;280,7855;2,3655;0
MT-5101902-1E03700F6D7B44F3BCCD0F2D87C46CB5;Sim;Nâo;Amazônia;80;250,59108;Brasnorte;MT;"13°06'21,51"" S";"58°03'09,42"" O";11/11/2016;04/05/2019;--;Ativo;IRU;AT;Aguardando análise;--;736,6176;7,37;544,1294;184,8294;0;Não Analisada;0;260,1036;0;260,1036;78,5994;0
MT-5101902-85C4525287E944618F8AA8589EBF0CF4;Nâo;Sim;Amazônia;80;458,8921813;Brasnorte;MT;"12°31'55,41"" S";"57°27'11,87"" O";28/10/2014;28/10/2014;02/01/2017;Pendente;IRU;PE;Analisado com pendências, aguardando retificação;--;2740,5064;27,4051;0;1181,721543;0;Não Analisada;0;0;1543,0055;1543,0055;190,5074387;0
MT-5101902-0E913C0189B448EB884FF5D6D1F51C33;Sim;Sim;Amazônia;80;-385,7610821;Brasnorte;MT;"12°34'07,4"" S";"57°30'00,41"" O";28/10/2014;03/06/2016;19/12/2016;Pendente;IRU;PE;Analisado com pendências, aguardando retificação;--;11066,9642;110,6696;10103,34674;942,2292133;0;Não Analisada;0;0;8886,9837;8886,9837;352,3487421;0
MT-5101902-7A1C0729C4184F2A9BA34D7DF1775E2D;Sim;Sim;Amazônia;80;683,67022;Brasnorte;MT;"13°12'36,34"" S";"57°51'04,18"" O";21/10/2014;04/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;1239,4074;12,39;270,8568;968,5506;0;Não Analisada;270,8568;0;0;270,8568;36,9989;0
MT-5101902-764F6739357345F7B1FF4E2DB19EB922;Sim;Nâo;Amazônia;80;-15,17776;Brasnorte;MT;"12°40'27,49"" S";"58°08'38,61"" O";04/05/2015;05/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;1013,1293;10,13;916,4242;96,7051;0;Não Analisada;0;820,2385;0;820,2385;5,4427;0
MT-5101902-02471FEFD4864D87ADB17AB801B948CC;Nâo;Sim;Amazônia;80;1255,49144;Brasnorte;MT;"12°40'18,04"" S";"58°00'50,73"" O";05/08/2018;05/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;2184,6118;21,85;438,8516;1742,3694;0;Não Analisada;99,2697;0;339,5819;438,8516;53,3464;0
MT-5101902-4C43F9A3A4AE402899979F702AD6F47D;Nâo;Sim;Amazônia;80;316,8306;Brasnorte;MT;"13°04'07,25"" S";"57°49'16,26"" O";18/10/2019;18/10/2019;--;Ativo;IRU;AT;Aguardando análise;--;469,1725;4,69;58,5074;410,665;0;Não Analisada;0;58,5074;0;58,5074;0;0
MT-5101902-DF0F007E649C489E81D2E66D32C6FC00;Sim;Sim;Amazônia;80;342,94348;Brasnorte;MT;"12°38'15,58"" S";"57°51'04,28"" O";02/09/2016;04/05/2019;--;Ativo;IRU;AT;Aguardando análise;--;691,2531;6,91;210,059;481,1941;0;Não Analisada;210,059;0;0;210,059;0;0
MT-5101902-0D23D7A2F1064745AFAC2245766D0F09;Sim;Sim;Amazônia;80;-316,6909;Brasnorte;MT;"11°54'31"" S";"57°56'29,65"" O";22/10/2014;16/01/2020;20/01/2020;Ativo;IRU;AT;Aguardando análise;--;2025,08;20,25;2014,9555;0;0;Não Analisada;1612,4591;0;0;1612,4591;324,2958;0
MT-5101902-634111619F544B3483FDE11F0A8DD6C0;Sim;Sim;Amazônia;80;400,07302;Brasnorte;MT;"13°10'26,97"" S";"57°50'58,68"" O";05/12/2014;02/10/2019;--;Ativo;IRU;AT;Aguardando análise;--;989,5929;9,9;458,82;530,6363;0;Não Analisada;0;369,0919;0;369,0919;22,5094;0
MT-5101902-E9DC2727A38F498881A7C25C0B3819FD;Sim;Sim;Amazônia;80;1470,90908;Brasnorte;MT;"13°08'06,88"" S";"57°32'57,97"" O";22/10/2014;15/10/2019;--;Ativo;IRU;AT;Aguardando análise;--;3341,4051;33,41;1073,902;2263,1716;0;Não Analisada;0;1073,902;0;1073,902;128,313;0
MT-5101902-A6F611DB92AF4950B54B96B95F1F5A95;Sim;Sim;Amazônia;80;4423,8332;Brasnorte;MT;"11°59'46,3"" S";"58°23'26,63"" O";20/10/2014;07/08/2018;04/08/2016;Ativo;IRU;AT;Aguardando análise;--;16628,5285;166,29;8230,774;8329,5643;0;Não Analisada;8230,774;0;0;8230,774;648,2156;0
MT-5101902-7B6B2149EF1949518276A00C3E6109A0;Sim;Sim;Amazônia;80;217,32512;Brasnorte;MT;"11°55'15,23"" S";"58°18'53,03"" O";05/03/2015;27/09/2018;--;Ativo;IRU;AT;Aguardando análise;--;1207,5034;12,08;668,9681;522,6093;0;Não Analisada;0;668,9681;0;668,9681;79,7095;0
MT-5101902-E72B033BD90B4727BD56F28A75853A69;Nâo;Sim;Amazônia;80;535,0997132;Brasnorte;MT;"12°57'08,56"" S";"57°33'11,89"" O";28/10/2014;28/10/2014;--;Ativo;IRU;AT;Aguardando análise;--;1000,6382;10,0064;0;723,521337;2,729309703;Não Analisada;0;0;260,4436;260,4436;4,967246798;0
MT-5101902-6AC9361F47414A27964B600955B8363C;Sim;Sim;Amazônia;80;1003,15362;Brasnorte;MT;"12°55'35,25"" S";"58°08'36,99"" O";22/10/2014;06/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;2485,4299;24,85;1025,0044;1457,6509;0;Não Analisada;0;942,3352;0;942,3352;42,8551;0
MT-5101902-3A0650B83C1B4E5FB126838BB4E4AB68;Sim;Sim;Amazônia;80;546,4923;Brasnorte;MT;"11°35'15,66"" S";"58°21'10,94"" O";20/10/2014;04/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;1490,0825;14,9;549,1448;927,3903;0;Não Analisada;549,1457;0;0;549,1457;96,428;0
MT-5101902-10E2AB5F9B2842C991DE8E19A0F02363;Sim;Sim;Amazônia;80;1073,547644;Brasnorte;MT;"12°52'14,54"" S";"57°24'41,27"" O";20/10/2014;09/03/2016;--;Ativo;IRU;AT;Aguardando análise;--;1932,8987;19,329;597,0824026;1321,298814;0;Não Analisada;387,5828;0;0;387,5828;85,18851638;0
MT-5101902-210D3587A1104183A280A0D1D9AD66A0;Sim;Sim;Amazônia;80;211,68418;Brasnorte;MT;"12°47'04,42"" S";"58°16'54,3"" O";03/08/2018;04/05/2019;03/08/2018;Cancelado;IRU;CA;Cancelado por decisão administrativa;--;531,2031;5,31;368,7459;45,6248;0;Não Analisada;0;201,0828;0;201,0828;12,1955;0
MT-5101902-DDB811313FD242BC975A03C98F60126F;Sim;Sim;Amazônia;80;1662,5339;Brasnorte;MT;"11°41'58,53"" S";"58°20'31,47"" O";20/10/2014;16/10/2020;--;Ativo;IRU;AT;Aguardando análise;--;7025,982;70,26;3714,0292;3298,4707;0;Não Analisada;3613,8589;0;0;3613,8589;344,3928;0
MT-5101902-D869B4AF7DA347878182A9D256D2BB6B;Nâo;Sim;Amazônia;80;692,99074;Brasnorte;MT;"12°30'18,48"" S";"58°13'24,95"" O";05/01/2021;05/01/2021;--;Ativo;IRU;AT;Aguardando análise;--;886,7758;8,87;16,4299;870,3421;0;Não Analisada;0;16,4299;0;16,4299;0;0
MT-5101902-64F85F717405440AB502583D22CB5DBE;Nâo;Sim;Amazônia;80;295,60184;Brasnorte;MT;"12°40'25,6"" S";"58°14'26,91"" O";03/04/2020;03/04/2020;--;Ativo;IRU;AT;Aguardando análise;--;417,4238;4,17;38,3372;379,0866;0;Não Analisada;0;38,3372;0;38,3372;0;0
MT-5101902-33994F2EE52D49E59F74BFB0D2D4C168;Sim;Sim;Amazônia;80;509,12472;Brasnorte;MT;"12°21'06,23"" S";"58°26'02,98"" O";07/08/2018;10/02/2021;--;Ativo;IRU;AT;Aguardando análise;--;2442,5639;24,43;2436,1632;0;0;Não Analisada;0;1360,7313;0;1360,7313;84,1951;0
MT-5101902-03344EEECC5B4E099C583E74FFAC3741;Sim;Sim;Amazônia;80;295,93984;Brasnorte;MT;"12°58'47,59"" S";"57°59'10,67"" O";21/05/2019;14/04/2020;--;Ativo;IRU;AT;Aguardando análise;--;588,1218;5,88;161,1184;426,1512;0;Não Analisada;0;161,1184;0;161,1184;13,4392;0
MT-5101902-BF814D57572B4E8D8C314456FDFD01CF;Sim;Sim;Amazônia;80;1113,7956;Brasnorte;MT;"13°08'24,69"" S";"57°50'22,92"" O";30/04/2015;18/10/2018;--;Ativo;IRU;AT;Aguardando análise;--;2544,14;25,44;1014,0556;1528,1471;0;Não Analisada;0;889,9841;0;889,9841;31,5323;0
MT-5101902-8FEFA0D7A67A416CA60556FBF4E88008;Sim;Sim;Amazônia;80;1284,0687;Brasnorte;MT;"13°07'09,19"" S";"57°50'38,12"" O";30/04/2015;18/10/2018;--;Ativo;IRU;AT;Aguardando análise;--;2571,949;25,72;764,7155;1807,2335;0;Não Analisada;0;764,7155;0;764,7155;8,775;0
MT-5101902-215F06DBB71A4758B9ABA266FB0B3CCF;Nâo;Nâo;Amazônia;80;3935,1992;Brasnorte;MT;"12°26'26,53"" S";"57°32'27,65"" O";01/12/2014;01/12/2014;--;Ativo;IRU;AT;Aguardando análise;--;4918,999;49,19;0;0;0;Não Analisada;0;0;0;0;0;0
MT-5101902-8B16DD81EAF1439F8320520ED6DFCD41;Sim;Nâo;Amazônia;80;253,84518;Brasnorte;MT;"12°44'24,1"" S";"58°13'18,8"" O";01/05/2015;14/05/2019;05/08/2016;Pendente;IRU;PE;Aguardando análise;--;1510,7291;15,11;826,7123;678,6087;0;Não Analisada;0;826,7123;0;826,7123;128,0258;0
MT-5101902-6D994D6231C04D63BDF35D8F9ED5A276;Sim;Sim;Amazônia;80;-2473,30586;Brasnorte;MT;"12°47'20,58"" S";"57°28'21,78"" O";08/09/2015;18/03/2016;09/10/2015;Ativo;IRU;AT;Aguardando análise;--;11973,7761;119,7378;11772,42851;151,2908405;0;Não Analisada;0;0;11772,4285;11772,4285;279,8982399;0
MT-5101902-DA8F96EF13404587A48B0703E8DE64A2;Nâo;Sim;Amazônia;80;1149,1085;Brasnorte;MT;"12°49'37,1"" S";"58°18'16,75"" O";12/07/2016;12/07/2016;--;Pendente;IRU;PE;Aguardando análise;--;3967,2625;39,6726;2024,701518;1877,995263;0;Não Analisada;0;0;2024,7015;2024,7015;0;0
MT-5101902-EDC339593D5A47D3B4127AE04310004E;Sim;Sim;Amazônia;80;-73,69242;Brasnorte;MT;"11°28'54,04"" S";"58°11'13,06"" O";21/10/2014;18/11/2019;19/11/2019;Ativo;IRU;AT;Analisado, aguardando regularização ambiental (Lei 12.651/12);--;721,6151;7,22;700,216;20,8475;0;Não Analisada;591,1767;0;0;591,1767;59,8078;0
MT-5101902-87E538BC60C048F7833B2E9618DF1E2C;Sim;Nâo;Amazônia;80;876,63048;Brasnorte;MT;"12°36'29,71"" S";"57°49'17,99"" O";14/07/2016;04/08/2016;--;Pendente;IRU;PE;Aguardando análise;--;2020,9836;20,2098;769,7820182;1245,472643;0;Não Analisada;0;0;740,1564;740,1564;0;0
MT-5101902-037D1EA9CF9749AC881F842772D16E3B;Sim;Sim;Amazônia;80;703,1756;Brasnorte;MT;"13°11'41,37"" S";"57°51'09,12"" O";18/10/2014;02/09/2019;--;Ativo;IRU;AT;Aguardando análise;--;1602,6485;16,03;813,0231;789,5801;0;Não Analisada;570,4861;0;0;570,4861;8,4571;0
MT-5101902-FF82B270C10E4C90A043EFA00CCB2BD2;Sim;Sim;Amazônia;80;116,17122;Brasnorte;MT;"12°18'39,71"" S";"58°20'41,04"" O";19/04/2015;02/10/2020;--;Ativo;IRU;AT;Aguardando análise;--;1194,5294;11,95;777,3923;413,8223;0;Não Analisada;330,4204;446,9719;0;777,3923;62,06;0
MT-5101902-070BC36A2D0346028706AEF64205E106;Sim;Sim;Amazônia;80;326,6869;Brasnorte;MT;"12°53'30,82"" S";"57°23'51,07"" O";19/10/2014;22/04/2020;--;Ativo;IRU;AT;Aguardando análise;--;450,0015;4,5;27,2852;417,4585;0;Não Analisada;27,2852;0;0;27,2852;6,0291;0
MT-5101902-14B01F33994F496193A030BA1575A3BE;Sim;Sim;Amazônia;80;159,7913;Brasnorte;MT;"12°16'19,42"" S";"58°05'55,74"" O";22/10/2014;06/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;5057,455;50,57;3399,0156;1657,0855;0;Não Analisada;3399,0534;0;0;3399,0534;487,1193;0
MT-5101902-680C18B588AE4D859C51EDD64D5CCDFE;Nâo;Sim;Amazônia;80;-32,89847141;Brasnorte;MT;"12°50'51,78"" S";"58°10'35,26"" O";30/04/2015;30/04/2015;--;Ativo;IRU;AT;Aguardando análise;--;481,73;4,8173;0;63,73499109;0;Não Analisada;0;0;415,3937;415,3937;2,888771409;0
MT-5101902-45C356F038B2443C854112C77E53A6D1;Sim;Sim;Amazônia;80;256,5082003;Brasnorte;MT;"11°50'23,61"" S";"58°10'56,4"" O";22/10/2014;30/04/2015;--;Ativo;IRU;AT;Aguardando análise;--;685,7456;6,8575;262,4649771;418,4125133;0;Não Analisada;0;0;262,465;262,465;29,62327968;0
MT-5101902-0D9B8612480D428C9AB8D305AE408634;Nâo;Sim;Amazônia;80;-121,0206675;Brasnorte;MT;"12°22'44,7"" S";"57°36'18,29"" O";13/02/2015;13/02/2015;--;Ativo;IRU;AT;Aguardando análise;--;1371,6196;13,7162;1219,473114;132,1627633;5,685667463;Não Analisada;0;0;1182,1738;1182,1738;36,14254755;0
MT-5101902-433D6F99DDE946CCB7877E3F0F005421;Sim;Sim;Amazônia;80;202,043;Brasnorte;MT;"13°08'53,24"" S";"57°42'36,42"" O";20/10/2014;08/05/2019;--;Ativo;IRU;AT;Aguardando análise;--;678,1095;6,78;333,3064;343,8485;0;Não Analisada;0;333,3064;0;333,3064;7,1382;0
MT-5101902-B2CBA382EB2B4DD1ADDF483F05268457;Sim;Sim;Amazônia;80;471,90176;Brasnorte;MT;"12°00'19,04"" S";"57°52'58,55"" O";02/06/2016;08/05/2019;--;Ativo;IRU;AT;Aguardando análise;--;985,2562;9,85;258,8212;724,5006;0;Não Analisada;0;258,8213;0;258,8213;57,4819;0
MT-5101902-93F19E2354CD41CCBD70E71599F3A27F;Nâo;Sim;Amazônia;80;18,86706;Brasnorte;MT;"12°19'00,76"" S";"58°21'38,46"" O";26/08/2015;26/08/2015;--;Ativo;IRU;AT;Aguardando análise;--;1492,8767;14,9288;1175,434312;304,1660693;0;Não Analisada;0;0;1175,4343;1175,4343;0;0
MT-5101902-81C72D18892B4F399801CE59186F5501;Sim;Sim;Amazônia;80;1008,8016;Brasnorte;MT;"12°46'58,09"" S";"58°03'36,77"" O";28/01/2020;11/03/2021;--;Ativo;IRU;AT;Aguardando análise;--;1282,9465;12,83;17,5556;1265,3908;0;Não Analisada;0;17,5556;0;17,5556;0;0
MT-5101902-1C54F6D13C8D428A80939DD852FCA769;Nâo;Nâo;Amazônia;80;2387,492717;Brasnorte;MT;"12°45'12,26"" S";"57°42'37,44"" O";19/10/2014;19/10/2014;--;Ativo;IRU;AT;Aguardando análise;--;8916,3813;89,1638;4567,713492;0;0;Não Analisada;0;0;4567,7135;4567,7135;177,8988226;0
MT-5101902-7CA7E4AD4E9D4E43BF0A798338720D74;Sim;Sim;Amazônia;80;120,1521;Brasnorte;MT;"12°07'24,29"" S";"58°13'37,2"" O";21/10/2014;05/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;669,384;6,69;392,0899;273,487;0;Não Analisada;392,0899;0;0;392,0899;23,2652;0
MT-5101902-21893522D0FA4393B92FED6B57DC1DC0;Sim;Sim;Amazônia;80;228,8755;Brasnorte;MT;"13°10'07,28"" S";"57°50'57,61"" O";20/10/2014;14/09/2020;--;Ativo;IRU;AT;Aguardando análise;--;595,7335;5,96;235,2801;353,7222;0;Não Analisada;0;235,2801;0;235,2801;12,4312;0
MT-5101902-A6FDB595D55C4A1C96B665B3C023BADE;Nâo;Sim;Amazônia;80;719,84268;Brasnorte;MT;"12°31'55,37"" S";"57°52'28,4"" O";30/11/2020;30/11/2020;--;Ativo;IRU;AT;Aguardando análise;--;1088,9041;10,89;483,9933;0;0;Não Analisada;0;0;0;0;151,2806;0
MT-5101902-F73B1042FFEC496EA7FFD853AA56CD9D;Sim;Nâo;Amazônia;80;-1,10898;Brasnorte;MT;"12°39'27,9"" S";"57°50'07,55"" O";11/04/2016;29/08/2019;--;Ativo;IRU;AT;Aguardando análise;--;1381,0984;13,81;1381,0984;0;0;Não Analisada;1105,9877;0;0;1105,9877;0;0
MT-5101902-6BB0335339B2448691CBE25CA2DB5751;Sim;Sim;Amazônia;80;187,72956;Brasnorte;MT;"12°47'31,96"" S";"58°15'35,36"" O";02/08/2018;03/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;464,1257;4,64;400,0117;52,014;0;Não Analisada;0;171,4764;0;171,4764;12,0946;0
MT-5101902-3E1EBD9F83194C86A456967BE715A62F;Sim;Sim;Amazônia;80;165,11972;Brasnorte;MT;"12°14'06,5"" S";"58°09'08,73"" O";22/10/2014;04/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;2003,6059;20,04;1327,4668;656,2685;0;Não Analisada;0;0;1327,4668;1327,4668;110,2982;0
MT-5101902-2E86AB65324D49018A57A9B28BF57FDE;Sim;Nâo;Amazônia;80;338,39846;Brasnorte;MT;"12°58'56,16"" S";"57°51'32,16"" O";03/06/2016;04/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;752,8347;7,53;724,3771;28,4459;0;Não Analisada;0;263,8693;0;263,8693;0;0
MT-5101902-F9A7B63441814271B96A26FA46E81338;Nâo;Nâo;Amazônia;80;-366,56212;Brasnorte;MT;"12°56'11,17"" S";"57°51'15,75"" O";05/08/2018;05/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;1652,8636;16,53;1649,625;0;0;Não Analisada;1649,625;0;0;1649,625;39,228;0
MT-5101902-7FE5C9E7FC4D4A6AA7D53C4645F5822C;Nâo;Sim;Amazônia;80;-383,72428;Brasnorte;MT;"12°58'27,39"" S";"57°52'19,94"" O";05/08/2018;05/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;1823,7569;18,24;1822,1206;0;0;Não Analisada;1822,1206;0;0;1822,1206;20,6092;0
MT-5101902-B3DB4531579C40FA8CEB6D193A58FC43;Nâo;Nâo;Amazônia;80;-0,70048;Brasnorte;MT;"12°04'58,16"" S";"58°15'19,55"" O";05/08/2018;05/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;1124,8019;11,25;1124,8019;0;0;Não Analisada;0;900,542;0;900,542;0;0
MT-5101902-E9B7C6A7CB2C4EE9961EAE9FC03BA85B;Sim;Sim;Amazônia;80;-237,36076;Brasnorte;MT;"12°19'03,66"" S";"58°02'54,75"" O";22/10/2014;06/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;3721,6843;37,22;3184,7195;526,8279;0;Não Analisada;3184,7195;0;0;3184,7195;29,9887;0
MT-5101902-ADCAE3559B9D4AA4BC4429C378829B2A;Sim;Sim;Amazônia;80;4057,3789;Brasnorte;MT;"11°32'34,02"" S";"58°12'34,7"" O";20/10/2014;06/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;7098,8075;70,99;1306,7829;5680,7363;0;Não Analisada;0;1306,7829;0;1306,7829;314,8842;0
MT-5101902-E72DF8A7BC18404695D32C5A38E56905;Sim;Sim;Amazônia;80;265,16746;Brasnorte;MT;"12°53'37,5"" S";"57°20'28,62"" O";19/10/2014;06/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;834,3387;8,34;335,9854;497,8312;0;Não Analisada;0;335,9854;0;335,9854;66,3181;0
MT-5101902-BE3DB9D459CC43A4B2A42442A4AB1F9C;Sim;Nâo;Amazônia;80;733,71474;Brasnorte;MT;"12°25'16,55"" S";"58°20'37,96"" O";22/10/2014;06/08/2018;25/01/2017;Pendente;IRU;PE;Aguardando análise;--;1796,3438;17,96;1794,57;0;0;Não Analisada;0;665,7224;0;665,7224;37,6379;0
MT-5101902-54A63A6A085549F1AAB8ECB6A5ECB5E1;Sim;Sim;Amazônia;80;390,7493;Brasnorte;MT;"12°49'22,25"" S";"58°11'05,28"" O";20/10/2014;06/08/2018;11/08/2016;Ativo;IRU;AT;Aguardando análise;--;1016,144;10,16;372,2532;639,4177;0;Aprovada;0;372,2532;0;372,2532;49,9127;0
MT-5101902-763BF7E48A4A4C148B92CC50092F185C;Sim;Sim;Amazônia;80;3646,7671;Brasnorte;MT;"12°26'59,94"" S";"58°12'39,66"" O";22/10/2014;06/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;10455,4455;104,55;7516,2365;2875,0726;0;Não Analisada;4345,5805;0;0;4345,5805;372,0088;0
MT-5101902-00EB154F60EA4DEBBCD10E75FA772B89;Nâo;Sim;Amazônia;80;-115,43904;Brasnorte;MT;"12°28'02,59"" S";"58°06'41,99"" O";07/08/2018;07/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;401,2667;4,01;332,3141;68,5354;0;Não Analisada;0;332,3141;0;332,3141;104,1383;0
MT-5101902-EED20C05C4724220AF2661EAF6AC9C19;Sim;Nâo;Amazônia;80;306,38798;Brasnorte;MT;"12°22'14,32"" S";"58°25'37,01"" O";22/10/2014;07/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;1217,5156;12,18;1216,2978;0;0;Não Analisada;0;648,2437;0;648,2437;19,3808;0
MT-5101902-C1378EEA4C104633945B287AA1027E3B;Sim;Sim;Amazônia;80;81,4736;Brasnorte;MT;"12°10'37,69"" S";"57°55'40,81"" O";20/10/2014;30/11/2020;--;Ativo;IRU;AT;Aguardando análise;--;529,9845;5,3;319,038;210,5823;0;Não Analisada;0;319,0357;0;319,0357;23,4783;0
MT-5101902-EC15E1AAC79E41B19CD3F3DF8BCFA181;Sim;Sim;Amazônia;80;605,53924;Brasnorte;MT;"12°37'38,88"" S";"57°52'17,09"" O";20/10/2014;25/09/2018;--;Ativo;IRU;AT;Aguardando análise;--;1658,8203;16,59;700,867;954,7031;0;Não Analisada;700,867;0;0;700,867;20,65;0
MT-5101902-9D4A997378284EC88489D749A9F11DD4;Sim;Sim;Amazônia;80;829,37266;Brasnorte;MT;"11°59'09,81"" S";"58°11'25,44"" O";21/10/2014;07/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;2293,7162;22,94;901,1671;1375,5569;0;Não Analisada;901,1721;0;0;901,1721;104,4282;0
MT-5101902-65D814BC07134C1B8D58C0C836E39944;Nâo;Sim;Amazônia;80;273,143;Brasnorte;MT;"12°47'12,46"" S";"57°48'54,7"" O";05/08/2018;05/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;400;4;42,9595;356,4629;0;Não Analisada;0;42,9595;0;42,9595;3,8975;0
MT-5101902-CB8EC872F5CF44E4A7B4FF03B7B942CB;Sim;Nâo;Amazônia;80;1259,551782;Brasnorte;MT;"12°41'26,63"" S";"57°53'15,91"" O";21/10/2014;13/01/2016;--;Ativo;IRU;AT;Aguardando análise;--;3310,8463;33,1085;619,4824368;1374,252741;0;Não Analisada;0;0;1302,8805;1302,8805;86,2447578;0
MT-5101902-692202C9BFF24A2D81A24BA8B16F2E76;Sim;Sim;Amazônia;80;3035,24914;Brasnorte;MT;"12°44'50,67"" S";"57°40'16,5"" O";24/11/2018;01/08/2019;--;Ativo;IRU;AT;Aguardando análise;--;7028,6023;41,95;4494,374;2512,1119;0;Não Analisada;0;2452,2741;0;2452,2741;135,3586;0
MT-5101902-8F7ACE4A98BA4388B77E76829A475FAA;Sim;Nâo;Amazônia;80;-59,4105;Brasnorte;MT;"11°49'11,83"" S";"58°07'28,43"" O";22/10/2014;27/05/2019;--;Ativo;IRU;AT;Aguardando análise;--;1742,566;17,43;1391,3487;347,0788;0;Não Analisada;1391,3487;0;0;1391,3487;62,1146;0
MT-5101902-BA7FD924A4F04E5292F8C5841BE7CEBA;Sim;Sim;Amazônia;80;471,5168;Brasnorte;MT;"12°45'53,64"" S";"57°48'44,85"" O";13/01/2016;01/08/2019;--;Ativo;IRU;AT;Aguardando análise;--;2094,307;20,94;1128,3241;953,3632;0;Não Analisada;0;1128,3241;0;1128,3241;75,6047;0
MT-5101902-058A82FABB0344CD9226192D2CBC2925;Sim;Nâo;Amazônia;80;213,11918;Brasnorte;MT;"12°45'30,93"" S";"58°20'43,1"" O";02/06/2016;02/09/2019;--;Ativo;IRU;AT;Aguardando análise;--;489,3021;4,89;489,3021;0;0;Não Analisada;0;171,2586;0;171,2586;7,0639;0
