Registro no CAR;Houve Retificação?;Aderiu ao PRA?;Bioma;% do Bioma;Défice Reserva Legal;Cidade;Estado;Latitude;Longitude;Data de Registro;Data da Última Retificação;Data de Análise;Status do Imóvel;Tipo de Imóvel;Situação;Condição;Condição PRA;Área;Módulo Fiscal;Área total de remanescentes de vegetação nativa;Área total de uso consolidado;Área total de servidão administrativa;Situação RL;Área de reserva legal averbada vetorizada;Área de reserva legal aprovada não averbada vetorizada;Área de reserva legal proposta vetorizada;Total de reserva legal declarada pelo proprietário/possuidor;Áreas de preservação permanente;Área de uso restrito
MT-5101902-E719580D19394456BCCCA35313F3C263;Nâo;Sim;Amazônia;80;379,3506276;Brasnorte;MT;"12°44'03,61"" S";"58°22'40,59"" O";04/03/2015;04/03/2015;--;Ativo;IRU;AT;Aguardando análise;--;953,8378;9,5384;169,3239224;425,9468781;0;Não Analisada;0;0;356,3375;356,3375;27,3821124;0
MT-5101902-F4D25B069F6C42A78EBD391EC0396A94;Nâo;Sim;Amazônia;80;415,4842661;Brasnorte;MT;"12°46'25,68"" S";"58°23'14,37"" O";04/03/2015;04/03/2015;--;Ativo;IRU;AT;Aguardando análise;--;1087,8309;10,8783;0;704,4038982;0;Não Analisada;0;0;383,427;383,427;71,35345385;0
MT-5101902-860AB4D9C84F40B09078C9A5EE0E6261;Sim;Sim;Amazônia;80;360,82084;Brasnorte;MT;"12°02'35,91"" S";"58°00'37,63"" O";20/10/2014;01/07/2019;--;Ativo;IRU;AT;Aguardando análise;--;1011,9998;10,12;448,779;563,2139;0;Não Analisada;0;448,779;0;448,779;0;0
MT-5101902-9459A9D9EB7A4227A84EE1DCAA7E69E9;Nâo;Nâo;Amazônia;80;1025,738059;Brasnorte;MT;"13°04'25,92"" S";"58°02'49,37"" O";17/03/2015;17/03/2015;--;Ativo;IRU;AT;Aguardando análise;--;2496,6486;24,9665;0;0;0;Não Analisada;0;0;951,4247;951,4247;20,15612113;0
MT-5101902-4BE4353C82734C3CBBED3B30D9860C57;Nâo;Sim;Amazônia;80;3846,129734;Brasnorte;MT;"11°34'30,8"" S";"58°11'09,41"" O";17/03/2015;17/03/2015;--;Ativo;IRU;AT;Aguardando análise;--;5740,5122;57,4051;0;5189,686171;0;Não Analisada;0;0;482,227;482,227;264,0530264;0
MT-5101902-1C6AB48D09A547F89E08BC1B60C66FC1;Nâo;Sim;Amazônia;80;1549,996892;Brasnorte;MT;"11°34'08,69"" S";"58°18'51,01"" O";19/03/2015;19/03/2015;--;Ativo;IRU;AT;Aguardando análise;--;4207,6513;42,0765;0;2527,819665;0;Não Analisada;0;0;1701,8012;1701,8012;114,3229479;0
MT-5101902-790AEB9C28DA4392AD366DCB3458FF52;Sim;Sim;Amazônia;80;1258,933049;Brasnorte;MT;"12°40'18,03"" S";"58°00'50,73"" O";21/10/2014;30/03/2015;--;Ativo;IRU;AT;Aguardando análise;--;2184,3397;21,8434;0;1736,115269;0;Não Analisada;0;0;440,5559;440,5559;47,98281143;0
MT-5101902-3C8B4DFF1DC44781BF433B1052A74289;Sim;Sim;Amazônia;80;581,29634;Brasnorte;MT;"12°56'58,89"" S";"58°05'00,13"" O";20/10/2014;04/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;946,2403;9,46;151,1048;790,3403;0;Não Analisada;151,1048;0;0;151,1048;24,5911;0
MT-5101902-F8EE87AFB0034B2DAEEF4FFB896BC5F3;Nâo;Sim;Amazônia;80;302,6063759;Brasnorte;MT;"12°57'22,23"" S";"57°46'41,17"" O";05/04/2015;05/04/2015;--;Ativo;IRU;AT;Aguardando análise;--;1200,6897;12,0069;134,1599427;374,8886518;0;Não Analisada;641,6672;0;0;641,6672;16,27818406;0
MT-5101902-D94C79CEB56B40E4B0D6E24327C72356;Nâo;Sim;Amazônia;80;51,04382;Brasnorte;MT;"11°01'59,74"" S";"57°52'03,3"" O";26/10/2018;26/10/2018;--;Ativo;IRU;AT;Aguardando análise;--;599,6004;6;428,6365;170,9639;0;Não Analisada;0;428,6365;0;428,6365;0;0
MT-5101902-1CAA4A21F3264624B52761AE72929BE9;Sim;Sim;Amazônia;80;252,07432;Brasnorte;MT;"12°39'15,99"" S";"57°52'48,31"" O";02/09/2016;07/08/2018;19/07/2018;Ativo;IRU;AT;Analisado, aguardando regularização ambiental (Lei 12.651/12);--;690,2499;6,9;276,5088;413,3769;0;Não Analisada;276,5092;0;0;276,5092;23,6164;0
MT-5101902-DA2D526419904D85A459B2CF2B23B314;Sim;Sim;Amazônia;80;483,6823733;Brasnorte;MT;"12°25'55,69"" S";"58°03'39,66"" O";20/10/2014;01/06/2015;--;Ativo;IRU;AT;Aguardando análise;--;1132,476;11,3248;551,9600752;168,0503117;0;Não Analisada;0;0;410,5832;410,5832;11,71522665;0
MT-5101902-F96BDC84E530475AA59252F57C528BC3;Sim;Nâo;Amazônia;80;190,77864;Brasnorte;MT;"12°47'50,74"" S";"58°17'38,11"" O";19/10/2014;04/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;528,1348;5,28;344,4258;180,037;0;Não Analisada;0;208,5352;0;208,5352;23,194;0
MT-5101902-5BAA5E192DCE46469A9C349A85BE0226;Sim;Sim;Amazônia;80;249,5096063;Brasnorte;MT;"12°51'40,59"" S";"58°04'55,92"" O";20/10/2014;02/06/2015;--;Ativo;IRU;AT;Aguardando análise;--;408,2402;4,0824;0;340,6088836;1,591182279;Não Analisada;0;0;62,7589;62,7589;14,32365367;0
MT-5101902-70F736667C5046CEB0692E0453036A29;Sim;Sim;Amazônia;80;704,5145398;Brasnorte;MT;"13°11'41,37"" S";"57°51'09,12"" O";30/04/2015;03/06/2015;--;Ativo;IRU;AT;Aguardando análise;--;1602,6448;16,0264;242,6019159;789,3605683;0;Não Analisada;569,3498;0;0;569,3498;8,251500169;0
MT-5101902-ED640E8B78B349E8A9F629B24D76796E;Sim;Sim;Amazônia;80;605,26322;Brasnorte;MT;"12°23'21,03"" S";"58°13'48,64"" O";11/10/2019;21/11/2019;--;Ativo;IRU;AT;Aguardando análise;--;2278,4249;22,78;1154,2586;1122,2955;0;Não Analisada;1154,2586;0;0;1154,2586;63,2181;0
MT-5101902-95F53198A7D0429C922A479B82A06E3B;Sim;Nâo;Amazônia;80;439,79566;Brasnorte;MT;"12°37'46,27"" S";"58°06'07,13"" O";15/06/2016;29/06/2020;02/07/2020;Ativo;IRU;AT;Analisado sem pendências;--;1239,1507;12,39;893,3409;335,9244;0;Não Analisada;0;432,5857;0;432,5857;118,9392;0
MT-5101902-257FFE1AFCE94239AACB6D1FB9BE0E6E;Nâo;Sim;Amazônia;80;381,2476;Brasnorte;MT;"12°37'58,92"" S";"57°48'31,1"" O";01/07/2019;01/07/2019;--;Ativo;IRU;AT;Aguardando análise;--;599,748;6;94,3107;286,9118;0;Não Analisada;0;94,3107;0;94,3107;4,2401;0
MT-5101902-AF26070500C8473AA8D44D67C8E003E5;Sim;Sim;Amazônia;80;603,2535441;Brasnorte;MT;"12°36'04,37"" S";"58°01'13,46"" O";19/10/2014;18/06/2015;--;Ativo;IRU;AT;Aguardando análise;--;1400;14;110,4319833;784,6598561;0;Não Analisada;0;0;502,708;502,708;14,03845592;0
MT-5101902-53D3A6D18C1D4EF09D479B34B4E0110B;Nâo;Sim;Amazônia;80;1009,6996;Brasnorte;MT;"12°52'41,9"" S";"57°44'03,53"" O";15/05/2020;15/05/2020;--;Ativo;IRU;AT;Aguardando análise;--;3998,6225;39,99;3258,5839;715,9352;0;Não Analisada;2045,8608;0;0;2045,8608;143,3376;0
MT-5101902-D7DBBCFEB6864CCB8F24D49D876443CC;Sim;Sim;Amazônia;80;534,074;Brasnorte;MT;"12°41'41,64"" S";"58°11'22,73"" O";22/10/2014;02/05/2015;--;Ativo;IRU;AT;Aguardando análise;--;667,5925;6,6759;0;667,5925064;0;Não Analisada;0;0;0;0;0;0
MT-5101902-BEC17876D41D4B41B8238F2C9E33E5AB;Sim;Sim;Amazônia;80;682,0132861;Brasnorte;MT;"12°43'46,83"" S";"58°07'15,51"" O";22/10/2014;02/05/2015;--;Ativo;IRU;AT;Aguardando análise;--;1338,2084;13,3821;352,7005778;978,1459202;0;Não Analisada;0;0;352,7006;352,7006;35,8528339;0
MT-5101902-650775FD23B8484BB82F8733412EBF63;Sim;Sim;Amazônia;80;572,43536;Brasnorte;MT;"13°10'04,36"" S";"57°42'37,22"" O";25/01/2019;26/04/2019;--;Ativo;IRU;AT;Aguardando análise;--;1149,8142;11,5;347,416;802,3059;0;Não Analisada;0;347,416;0;347,416;0;0
MT-5101902-1D2DCF4AC02A4511B19922D10B307694;Nâo;Sim;Amazônia;80;1166,832053;Brasnorte;MT;"13°08'48,8"" S";"57°57'03,34"" O";27/06/2015;27/06/2015;--;Ativo;IRU;AT;Aguardando análise;--;2348,4953;23,485;666,9174178;1675,031152;5,366165674;Não Analisada;0;0;666,9174;666,9174;45,04678665;0
MT-5101902-8F5BAE5DD41B4B36885177714AF230BB;Nâo;Sim;Amazônia;80;1242,98869;Brasnorte;MT;"13°07'43,54"" S";"57°56'37,39"" O";27/06/2015;27/06/2015;--;Ativo;IRU;AT;Aguardando análise;--;2035,0161;20,3502;369,3561952;1659,075299;6,182009315;Não Analisada;0;0;369,3562;369,3562;15,66798967;0
MT-5101902-53387615112C4841B065B8C821E3DEF6;Nâo;Nâo;Amazônia;80;1821,38648;Brasnorte;MT;"12°45'54,49"" S";"57°45'04,02"" O";29/12/2019;29/12/2019;--;Ativo;IRU;AT;Aguardando análise;--;4252,7786;42,53;1648,3529;2588,2611;0;Não Analisada;0;1482,8173;0;1482,8173;98,0191;0
MT-5101902-8521E354A91A4488A997F6A896772B38;Sim;Sim;Amazônia;80;1051,282;Brasnorte;MT;"13°06'49,1"" S";"57°57'14,32"" O";22/10/2014;27/03/2020;--;Ativo;IRU;AT;Aguardando análise;--;2317,869;23,18;770,659;1544,4329;0;Não Analisada;0;770,659;0;770,659;32,3542;0
MT-5101902-B73835705B0443A9A664F41FA20FA917;Nâo;Sim;Amazônia;80;-308,4471447;Brasnorte;MT;"12°24'57,49"" S";"57°56'28,22"" O";19/07/2015;19/07/2015;--;Ativo;IRU;AT;Aguardando análise;--;8227,5913;82,2759;8190,061223;0;0;Não Analisada;0;0;6582,0672;6582,0672;308,4529847;0
MT-5101902-D0E649755A744E03B4C742044F9D56E0;Sim;Nâo;Amazônia;80;124,7108292;Brasnorte;MT;"12°47'25,15"" S";"58°19'20,56"" O";29/04/2015;28/07/2015;--;Ativo;IRU;AT;Aguardando análise;--;677,1791;6,7718;0;229,6881163;0;Não Analisada;0;0;409,9201;409,9201;7,112350798;0
MT-5101902-44D024E9A4114A338F1E088C37ECDF7B;Sim;Nâo;Amazônia;80;149,715093;Brasnorte;MT;"12°48'10,06"" S";"58°20'08,1"" O";29/04/2015;28/07/2015;--;Pendente;IRU;PE;Aguardando análise;--;603,433;6,0343;0;381,9876136;0;Não Analisada;0;0;316,9749;316,9749;16,05640697;0
MT-5101902-4A03062D7C89485F8FA09DD9FBD547ED;Sim;Sim;Amazônia;80;386,7658;Brasnorte;MT;"12°22'03,45"" S";"58°06'24,52"" O";19/10/2014;17/01/2020;--;Ativo;IRU;AT;Aguardando análise;--;1063,0555;10,63;925,6602;137,0606;0;Não Analisada;0;452,3721;0;452,3721;11,3065;0
MT-5101902-FCA357DD68634A3396829C28E142F368;Sim;Sim;Amazônia;80;26,31188;Brasnorte;MT;"12°06'45,29"" S";"57°53'01,13"" O";22/10/2014;04/08/2018;--;Ativo;IRU;AT;Aguardando análise;--;431,7201;4,32;275,3627;152,1314;0;Não Analisada;0;275,3627;0;275,3627;43,7015;0
MT-5101902-8FB48E5C21D54ACC885936C7A9E5B255;Sim;Sim;Amazônia;80;452,58218;Brasnorte;MT;"12°51'51,47"" S";"58°12'03,71"" O";22/10/2014;10/08/2018;24/10/2016;Pendente;IRU;PE;Aguardando análise;--;1045,6741;10,46;812,5164;62,1133;0;Não Analisada;0;365,9993;0;365,9993;17,9578;0
MT-5101902-2100499236E74D1092ECA8FCDB335F90;Sim;Sim;Amazônia;80;742,1319;Brasnorte;MT;"13°08'00,9"" S";"57°42'52,07"" O";19/10/2014;25/07/2019;--;Ativo;IRU;AT;Aguardando análise;--;1385,8705;13,86;357,2033;1027,1227;0;Não Analisada;0;357,2033;0;357,2033;9,3612;0
MT-5101902-4AD46D48E4C64B4EB31ADF35CA41873D;Sim;Sim;Amazônia;80;1100,73282;Brasnorte;MT;"12°52'15,64"" S";"57°50'48,89"" O";03/03/2016;07/08/2018;24/02/2017;Pendente;IRU;PE;Aguardando análise;--;2664,6219;26,65;1318,874;1340,7499;0;Não Analisada;0;0;933,7665;933,7665;97,1982;0
MT-5101902-CB1852A697DC4FE98F4898C1FBFF1AC3;Sim;Sim;Amazônia;80;478,416;Brasnorte;MT;"11°57'18,56"" S";"58°13'58,23"" O";22/10/2014;18/12/2020;--;Ativo;IRU;AT;Aguardando análise;--;1175,341;11,75;418,9813;749,6436;0;Não Analisada;418,9813;0;0;418,9813;42,8755;0
MT-5101902-9D2065BDF60D47DE8D9D2FA68A7509FF;Sim;Sim;Amazônia;80;4666,09562;Brasnorte;MT;"11°47'55,93"" S";"58°15'58,57"" O";19/10/2014;07/08/2018;15/06/2018;Ativo;IRU;AT;Analisado, aguardando regularização ambiental (Lei 12.651/12);--;13920,9824;139,21;6142,3261;7693,6082;0;Não Analisada;0;6142,3261;0;6142,3261;328,3642;0
MT-5101902-27188858E3CA4C98905D121D40CC707C;Nâo;Sim;Amazônia;80;1475,78752;Brasnorte;MT;"12°30'58,66"" S";"58°16'50,51"" O";11/02/2021;11/02/2021;--;Ativo;IRU;AT;Aguardando análise;--;1963,5194;19,64;80,0228;1882,4094;0;Não Analisada;0;80,0228;0;80,0228;15,0052;0
MT-5101902-D32DBEE809B04D72A18F20A887C95593;Sim;Sim;Amazônia;80;943,01638;Brasnorte;MT;"12°14'07,91"" S";"58°01'20,1"" O";19/11/2014;29/04/2019;--;Ativo;IRU;AT;Aguardando análise;--;3045,0596;30,45;1319,0132;1608,7379;0;Não Analisada;0;1319,0132;0;1319,0132;174,0181;0
MT-5101902-B8DD0CDC2E6549C4B8B51E6EE251ED96;Sim;Sim;Amazônia;80;1986,674459;Brasnorte;MT;"13°03'44,74"" S";"58°08'03,82"" O";20/10/2014;09/12/2016;--;Pendente;IRU;PE;Aguardando análise;--;5569,8564;55,6986;2157,166091;3381,069419;6,49137133;Não Analisada;0;0;2157,1661;2157,1661;312,0445607;0
MT-5101902-52494D8C95E140F2A9F3035B1AAFBCF7;Nâo;Nâo;Amazônia;80;1803,34366;Brasnorte;MT;"12°45'27,71"" S";"57°41'55,34"" O";24/11/2018;24/11/2018;--;Ativo;IRU;AT;Aguardando análise;--;4194,8197;41,95;1739,9836;2440,1967;0;Não Analisada;0;1463,0619;0;1463,0619;89,4502;0
MT-5101902-2D8D0B9203A54D0DBB98410AB255B670;Nâo;Sim;Amazônia;80;1059,038888;Brasnorte;MT;"12°49'43,19"" S";"58°04'33,08"" O";01/06/2015;01/06/2015;--;Ativo;IRU;AT;Aguardando análise;--;1369;13,69;31,36358746;1330,184522;6,650931714;Não Analisada;0;0;31,3636;31,3636;4,797512089;0
MT-5101902-C08D8813F85748E390B5A7E6058AE07F;Sim;Sim;Amazônia;80;965,1211764;Brasnorte;MT;"12°38'34,29"" S";"58°05'46,05"" O";22/10/2014;11/04/2016;28/09/2016;Ativo;IRU;AT;Em análise;--;2325,2782;23,2528;940,3086061;1380,907952;0;Não Analisada;493,4894;0;376,9156;870,405;24,69638358;0
